"zip","area_name","LA_city","lon","lat"
"91395","Mission Hills",FALSE,-118.47,34.26
"91396","Winnetka",FALSE,-118.57,34.21
"91401","Van Nuys",TRUE,-118.4338345,34.1789379
"91402","Panorama City",TRUE,-118.442596,34.2252697
"91403","Sherman Oaks/Van Nuys",TRUE,-118.4571974,34.1423899
"91404","Van Nuys",TRUE,-118.4486457,34.1826777
"91405","Van Nuys",TRUE,-118.4571974,34.2037124
"91406","Van Nuys",TRUE,-118.4980744,34.1985119
"91407","Van Nuys",TRUE,-118.4486457,34.1826777
"91408","Van Nuys",TRUE,-118.4486457,34.1826777
"91409","Van Nuys",TRUE,-118.475058,34.2011137
"91410","Van Nuys",FALSE,-118.47,34.2
"91411","Van Nuys",TRUE,-118.4601175,34.1799855
"91412","Panorama City",TRUE,-118.45,34.22
"91413","Sherman Oaks",TRUE,-118.46,34.1599999
"91416","Encino",FALSE,-118.52,34.18
"91423","Sherman Oaks/Van Nuys",TRUE,-118.4338345,34.1482691
"91426","Encino",FALSE,-118.5,34.1599999
"91436","Encino",TRUE,-118.4922355,34.1540054
"91501","Burbank",FALSE,-118.2935891,34.2039087
"91502","Burbank",FALSE,-118.3082034,34.1772371
"91503","Burbank",FALSE,-118.3489963,34.1872813
"91504","Burbank (Glenoaks)",FALSE,-118.3286614,34.2053511
"91505","Burbank",FALSE,-118.3403506,34.1615135
"91506","Burbank",FALSE,-118.325739,34.1728461
"91507","Burbank",FALSE,-118.3499537,34.1699956
"91508","Burbank",FALSE,-118.3299925,34.189976
"91510","Burbank (Woodbury Univ.)",FALSE,-118.35,34.19
"91521","Burbank",FALSE,-118.3246431,34.1568172
"91522","Burbank",FALSE,-118.3407158,34.1483152
"91523","Burbank",FALSE,-118.3337755,34.1548495
"91601","North Hollywood",TRUE,-118.3637264,34.1658804
"91602","North Hollywood/Toluca Lake",TRUE,-118.3608046,34.1487141
"91603","North Hollywood",TRUE,-118.3777395,34.1680031
"91604","North Hollywood/Studio City",TRUE,-118.3987842,34.1366259
"91605","North Hollywood",FALSE,-118.3987842,34.208195
"91606","North Hollywood",FALSE,-118.3900204,34.1873985
"91607","North Hollywood/Valley Village",TRUE,-118.3987842,34.167305
"91608","Universal City",FALSE,-118.3519973,34.1361007
"91609","North Hollywood",TRUE,-118.3878446,34.1893
"91610","Toluca Lake",FALSE,-118.3798111,34.1599948
"91614","Studio City",FALSE,-118.4,34.15
"91615","North Hollywood",FALSE,-118.4,34.2
"91616","North Hollywood",FALSE,-118.4,34.18
"91617","Valley Village",FALSE,-118.4,34.1599999
"91618","North Hollywood",FALSE,-118.35,34.14
"91702","Azusa",FALSE,-117.8545867,34.2667473
"91706","Baldwin Park/Irwindale",FALSE,-117.9834738,34.0812006
"91709","Chino Hills",FALSE,-117.7256083,33.959453
"91710","Chino",FALSE,-117.6786847,34.0120229
"91711","Claremont",FALSE,-117.702148,34.1707374
"91714","City Of Industry",FALSE,-117.96,34.02
"91715","City Of Industry",FALSE,-117.9703455,34.0153681
"91716","City Of Industry",FALSE,-117.96,34.02
"91722","Covina",FALSE,-117.9073244,34.0948204
"91723","Covina",FALSE,-117.8868171,34.0870296
"91724","Covina",FALSE,-117.8604472,34.0858034
"91731","El Monte",FALSE,-118.0361736,34.0835771
"91732","El Monte",FALSE,-118.0127534,34.0791053
"91733","South El Monte",FALSE,-118.0478826,34.0499095
"91734","El Monte",FALSE,-118.0341611,34.0749394
"91740","Glendora",FALSE,-117.848726,34.1194758
"91741","Glendora",FALSE,-117.8428651,34.1568319
"91744","Cityof Industry/La Puente/Valinda",FALSE,-117.9307584,34.0274622
"91745","La Puente (Hacienda Heights)",FALSE,-117.9834738,33.9990858
"91746","Bassett/City of Industry/La Puente",FALSE,-117.9893301,34.0541034
"91747","La Puente",FALSE,-117.9519585,34.0373357
"91748","Rowland Heights",FALSE,-117.8897468,33.9810337
"91749","La Puente",FALSE,-117.956279,34.0218507
"91750","La Verne",FALSE,-117.77252,34.1945949
"91754","Monterey Park",FALSE,-118.1415261,34.0472318
"91755","Monterey Park",FALSE,-118.1181199,34.0427819
"91759","Mt Baldy",FALSE,-117.7138785,34.2602336
"91765","Diamond Bar",FALSE,-117.8135579,33.9945546
"91766","Phillips Ranch/Pomona",FALSE,-117.7549295,34.0397162
"91767","Pomona",FALSE,-117.7432015,34.0836851
"91768","Pomona",FALSE,-117.7783831,34.0648167
"91769","Pomona",FALSE,-117.758368,34.0602708
"91770","Rosemead",FALSE,-118.0830047,34.0617365
"91773","San Dimas",FALSE,-117.8194197,34.1009953
"91775","San Gabriel",FALSE,-118.0830047,34.1232517
"91776","San Gabriel",FALSE,-118.0947106,34.0895991
"91778","San Gabriel",FALSE,-118.0995912,34.1023978
"91780","Temple City",FALSE,-118.0595907,34.0982956
"91788","Walnut",FALSE,-117.8640942,34.0158944
"91789","Diamond Bar/City of Industry/Walnut",FALSE,-117.8428651,34.0130769
"91790","West Covina",FALSE,-117.9424743,34.0656464
"91791","West Covina",FALSE,-117.8956062,34.0566376
"91792","West Covina",FALSE,-117.9073244,34.0332214
"91793","West Covina",FALSE,-117.9281954,34.068839
"91801","Alhambra",FALSE,-118.1181199,34.0837958
"91802","Alhambra",FALSE,-118.1256175,34.0923467
"91803","Alhambra",FALSE,-118.1415261,34.0779881
"91804","Alhambra",FALSE,-118.13,34.1
"91896","Alhambra",FALSE,-118.12,34.09
"91899","Alhambra",FALSE,-118.12,34.09
"92397","Wrightwood",FALSE,-117.6552185,34.3668408
"92821","Brea X",FALSE,-117.8604472,33.9316733
"92823","Brea X",FALSE,-117.8018337,33.9254328
"93243","Lebec",FALSE,-118.8363756,34.7936796
"93510","Acton",FALSE,-118.2292712,34.4600722
"93523","Edwards AFB",FALSE,-117.8545867,34.9609579
"93532","Elizabeth Lake/Lake Hughes",FALSE,-118.4531942,34.676617
"93534","Lancaster",FALSE,-118.1473771,34.6946278
"93535","Hi Vista",FALSE,-117.8780275,34.7311394
"93536","Lancaster/Quartz Hill",FALSE,-118.2526623,34.7190908
"93539","Lancaster",FALSE,-118.1656706,34.6824502
"93543","Littlerock/Juniper Hills",FALSE,-117.9600466,34.4965114
"93544","Llano",FALSE,-117.7607932,34.494562
"93550","Palmdale/Lake Los Angeles",FALSE,-118.0654445,34.3579404
"93551","Palmdale",FALSE,-118.1824793,34.594158
"93552","Palmdale",FALSE,-118.0303189,34.5811542
"93553","Pearblossom",FALSE,-117.9014654,34.3780816
"93560","Rosamond",FALSE,-118.3228165,34.8843005
